"ENTITY_CD","ENTITY_NAME","YEAR","NUM_ELL","PER_ELL","NUM_AM_IND","PER_AM_IND","NUM_BLACK","PER_BLACK","NUM_HISP","PER_HISP","NUM_ASIAN","PER_ASIAN","NUM_WHITE","PER_WHITE","NUM_Multi","PER_Multi","NUM_SWD","PER_SWD","NUM_FEMALE","PER_FEMALE","NUM_MALE","PER_MALE","NUM_ECDIS","PER_ECDIS","NUM_MIGRANT","PER_MIGRANT","NUM_HOMELESS","PER_HOMELESS","NUM_FOSTER","PER_FOSTER","NUM_ARMED","PER_ARMED"
"530301060000","NISKAYUNA CENTRAL SCHOOL DISTRICT","2018","116","3","5","0","170","4","181","4","727","17","3015","71","150","4",448,11,2052,48,2196,52,576,14,0,0,14,0,0,0,0,0
"530301060001","BIRCHWOOD ELEMENTARY SCHOOL","2018","14","4","0","0","10","3","12","4","74","22","217","66","16","5",41,12,164,50,165,50,37,11,0,0,0,0,0,0,0,0
"530301060002","CRAIG ELEMENTARY SCHOOL","2018","32","8","0","0","19","5","28","7","92","22","259","63","15","4",35,8,179,43,234,57,63,15,0,0,1,0,0,0,0,0
"530301060003","GLENCLIFF SCHOOL","2018","26","7","1","0","9","2","21","6","59","16","264","73","8","2",37,10,165,46,197,54,56,15,0,0,2,1,0,0,0,0
"530301060004","HILLSIDE SCHOOL","2018","13","3","1","0","22","6","19","5","38","10","294","74","26","7",35,9,191,48,209,52,53,13,0,0,2,1,0,0,0,0
"530301060005","ROSENDALE SCHOOL","2018","12","3","2","1","13","4","15","4","70","19","249","67","22","6",58,16,174,47,197,53,45,12,0,0,2,1,0,0,0,0
"530301060006","VAN ANTWERP MIDDLE SCHOOL","2018","6","1","0","0","26","6","13","3","73","17","299","71","10","2",40,10,192,46,229,54,54,13,0,0,0,0,0,0,0,0
"530301060007","NISKAYUNA HIGH SCHOOL","2018","10","1","1","0","51","4","44","3","232","16","1047","74","33","2",140,10,716,51,692,49,195,14,0,0,4,0,0,0,0,0
"530301060008","IROQUOIS MIDDLE SCHOOL","2018","3","1","0","0","20","4","29","5","89","16","386","71","20","4",62,11,271,50,273,50,73,13,0,0,3,1,0,0,0,0
"530501060000","SCHALMONT CENTRAL SCHOOL DISTRICT","2018","7","0","3","0","35","2","93","5","36","2","1600","87","66","4",262,14,889,48,944,52,553,30,0,0,11,1,7,0,0,0
"530501060003","JEFFERSON ELEMENTARY SCHOOL","2018","2","0","0","0","20","3","30","5","14","2","539","85","28","4",73,12,299,47,332,53,202,32,0,0,6,1,4,1,0,0
"530501060004","SCHALMONT MIDDLE SCHOOL","2018","0","0","2","0","5","1","41","7","12","2","486","86","21","4",73,13,278,49,289,51,184,32,0,0,2,0,1,0,0,0
"530501060006","SCHALMONT HIGH SCHOOL","2018","5","1","1","0","10","2","22","3","10","2","575","91","17","3",116,18,312,49,323,51,167,26,0,0,3,0,2,0,0,0
"530515060000","ROTTERDAM-MOHONASEN CENTRAL SCHOOL DISTRICT","2018","43","2","14","0","106","4","207","7","88","3","2251","80","137","5",398,14,1374,49,1429,51,1158,41,0,0,17,1,0,0,0,0
"530515060001","HERMAN L BRADT ELEMENTARY SCHOOL","2018","17","3","2","0","16","2","57","9","25","4","515","78","48","7",106,16,304,46,359,54,285,43,0,0,1,0,0,0,0,0
"530515060003","DRAPER MIDDLE SCHOOL","2018","6","1","4","1","23","4","47","8","16","3","491","80","31","5",78,13,294,48,318,52,257,42,0,0,3,0,0,0,0,0
"530515060004","MOHONASEN SENIOR HIGH SCHOOL","2018","7","1","6","1","47","5","52","6","30","3","723","81","35","4",106,12,455,51,438,49,342,38,0,0,10,1,0,0,0,0
"530515060005","PINEWOOD ELEMENTARY SCHOOL","2018","13","2","2","0","20","3","51","8","17","3","522","82","23","4",108,17,321,51,314,49,274,43,0,0,3,0,0,0,0,0
"530600010000","SCHENECTADY CITY SCHOOL DISTRICT","2018","442","5","21","0","2837","31","1897","21","1681","18","2134","23","617","7",1642,18,4538,49,4649,51,7659,83,0,0,344,4,0,0,0,0
"530600010008","MARTIN LUTHER KING SCHOOL","2018","40","7","1","0","184","34","124","23","128","24","46","8","60","11",71,13,275,51,268,49,476,88,0,0,36,7,0,0,0,0
"530600010009","HAMILTON ELEMENTARY SCHOOL","2018","27","6","1","0","139","31","103","23","56","13","91","21","52","12",75,17,240,54,202,46,398,90,0,0,34,8,0,0,0,0
"530600010010","HOWE EARLY CHILDHOOD EDUCATIONAL CENTER","2018","0","0","0","0","102","28","74","20","30","8","121","33","43","12",64,17,167,45,203,55,260,70,0,0,10,3,0,0,0,0
"530600010011","LINCOLN SCHOOL","2018","27","8","0","0","114","35","87","27","60","18","36","11","30","9",50,15,165,50,162,50,282,86,0,0,11,3,0,0,0,0
"530600010013","PAIGE SCHOOL","2018","47","10","1","0","100","21","95","20","103","21","123","26","60","12",72,15,252,52,230,48,356,74,0,0,15,3,0,0,0,0
"530600010014","PLEASANT VALLEY SCHOOL","2018","41","10","0","0","152","37","106","26","79","19","45","11","33","8",49,12,206,50,209,50,366,88,0,0,25,6,0,0,0,0
"530600010017","YATES SCHOOL","2018","29","8","3","1","122","32","122","32","25","7","63","16","47","12",74,19,181,47,201,53,340,89,0,0,13,3,0,0,0,0
"530600010018","JESSIE T ZOLLER SCHOOL","2018","0","0","0","0","89","21","77","18","55","13","153","36","46","11",57,14,206,49,214,51,290,69,0,0,16,4,0,0,0,0
"530600010024","MONT PLEASANT MIDDLE SCHOOL","2018","40","6","2","0","249","37","138","20","118","17","146","22","25","4",135,20,322,47,356,53,611,90,0,0,34,5,0,0,0,0
"530600010025","SCHENECTADY HIGH SCHOOL","2018","108","4","8","0","900","34","442","17","579","22","680","26","37","1",528,20,1331,50,1315,50,2207,83,0,0,62,2,0,0,0,0
"530600010026","VAN CORLAER SCHOOL","2018","1","0","0","0","85","23","84","23","24","6","134","36","44","12",63,17,192,52,179,48,299,81,0,0,17,5,0,0,0,0
"530600010029","WOODLAWN SCHOOL","2018","30","8","0","0","70","18","89","23","61","16","109","29","50","13",64,17,176,46,203,54,302,80,0,0,9,2,0,0,0,0
"530600010030","WILLIAM C KEANE ELEMENTARY SCHOOL","2018","1","0","1","0","70","21","78","23","80","24","60","18","45","13",50,15,153,46,181,54,275,82,0,0,22,7,0,0,0,0
"530600010034","CENTRAL PARK INTERNATIONAL MAGNET SCHOOL","2018","27","4","2","0","215","30","130","18","187","27","149","21","22","3",122,17,336,48,369,52,601,85,0,0,17,2,0,0,0,0
"530600010035","ONEIDA MIDDLE SCHOOL","2018","24","3","2","0","246","35","148","21","96","14","178","26","23","3",168,24,336,48,357,52,596,86,0,0,23,3,0,0,0,0
